date,open,high,low,close,volume
2025-07-28,361.3973309398731,368.4949259388953,360.6624497952527,364.7720947265625,4062800.0
2025-07-29,364.54964994233165,367.18950285852435,362.39328462553203,364.87841796875,2931600.0
2025-07-30,365.20715022500644,366.0290849654185,357.42301244109166,359.7920837402344,3110700.0
2025-07-31,356.9782598208417,360.4980343245854,354.7251910020546,355.3730773925781,3091600.0
2025-08-01,355.6727847854757,362.4222520293286,353.67113926627957,361.3199157714844,3008200.0
2025-08-04,362.46094744495093,369.28778937496793,361.3489319680863,368.24346923828125,2844300.0
2025-08-05,369.24907514522675,374.161324881003,368.3788035099119,372.6818542480469,2931400.0
2025-08-06,373.3297471813113,376.0856322183398,371.8212683313094,374.0259704589844,2812800.0
2025-08-07,375.7858805090549,378.52243672676036,370.69958174394486,373.41680908203125,2433000.0
2025-08-08,374.29673104314867,376.43376738859234,373.4458176925885,375.04132080078125,2326700.0
2025-08-11,377.1010041516825,378.59012473254023,370.64158730208237,374.7319030761719,2605800.0
2025-08-12,378.4934467327819,383.2896354742762,376.1533537585326,382.92218017578125,2911300.0
2025-08-13,386.2969292340723,394.3518495097621,385.581376999498,393.73297119140625,5187500.0
2025-08-14,387.9504913015771,390.2808757407531,386.17123083082004,387.09954833984375,3600200.0
2025-08-15,388.92707853043134,389.48794065977467,382.3709879963991,386.1905517578125,3841400.0
2025-08-18,383.47333889043625,384.9914969447048,379.54742217730444,381.66510009765625,4407100.0
2025-08-19,387.77639008007606,400.6758359064842,387.77639008007606,393.7523193359375,7629300.0
2025-08-20,396.15041154342725,397.5912247260266,388.40495989263286,388.4726257324219,4195300.0
2025-08-21,386.7030776065693,391.07379513383484,383.08659959749883,384.5660705566406,2942600.0
2025-08-22,387.63135707774444,400.8112342300775,385.15590284110766,399.15771484375,5284700.0
2025-08-25,396.8079548206866,397.4945285045366,394.0907566920205,395.39617919921875,3579500.0
2025-08-26,394.52588553879133,395.531548019559,391.34452883630235,394.0810852050781,3180900.0
2025-08-27,395.28978862048206,398.09401071588593,393.75230163896487,394.7579345703125,2487800.0
2025-08-28,393.55886795330076,395.444481212992,391.4411901113971,393.9940185546875,4051600.0
2025-08-29,394.2648042444122,395.39614868954186,392.0117355296734,393.33648681640625,2210300.0
2025-09-02,390.3485436049629,395.0963954018657,389.4492637468054,392.8916931152344,3328600.0
2025-09-03,391.56694218438946,395.5121880396359,390.24219087404623,394.2454528808594,3025100.0
2025-09-04,397.26011968287133,401.8404034566353,395.9861979319458,400.3525390625,3873100.0
2025-09-05,405.1175739833985,408.82264847243704,402.61834178517114,407.41259765625,5855600.0
2025-09-08,406.9749892700853,408.99769539417065,404.30072112075976,408.3753356933594,3742600.0
2025-09-09,406.6054488503357,407.1889314722671,401.3833372545098,403.9020080566406,3516000.0
2025-09-10,404.07701213354625,405.9344163339586,400.4011104850302,401.85009765625,2897800.0
2025-09-11,404.2520901069122,413.50990907145683,402.84200964465566,411.7594909667969,5316400.0
2025-09-12,408.69622210825554,411.84701630125346,407.34451659055753,411.0495910644531,5004200.0
2025-09-15,410.83568009040863,411.6428098200874,406.2456620869242,411.0690612792969,4884700.0
2025-09-16,412.08039870025317,412.8389171851107,408.52118744756547,409.84375,3726700.0
2025-09-17,412.7513785983885,414.9977612941385,404.35903482258374,405.5162658691406,4771700.0
2025-09-18,406.0511429878587,409.7854199351742,404.4076812634016,405.98309326171875,3677200.0
2025-09-19,405.87606754488917,407.0527371169607,403.66859162420025,404.2423400878906,6718400.0
2025-09-22,402.70587046992364,403.4546845448791,399.80795525150035,400.65399169921875,2656300.0
2025-09-23,400.6539731783087,402.3363415649943,396.2389914749436,399.593994140625,2597000.0
2025-09-24,395.5874669386123,399.3411526132105,393.85648733374296,398.4853820800781,3220700.0
2025-09-25,395.4513223525085,399.5453755013872,394.4399544427085,396.22930908203125,2554300.0
2025-09-26,396.91975739351886,400.0802562173988,394.66364034133846,398.7966003417969,2316600.0
2025-09-29,398.7576973399684,399.6329361488585,392.7284557947046,395.5971984863281,3008400.0
2025-09-30,395.4318404229484,395.7916462621145,392.36859405929937,394.031494140625,3211600.0
2025-10-01,393.2535809799684,393.97319273846136,384.4236170674206,386.0865173339844,3787800.0
2025-10-02,384.60836289471746,386.4365945008176,382.94546273264024,384.1318664550781,2964700.0
2025-10-03,383.27606880806803,386.3782218542282,381.8173772695158,384.1804504394531,2951300.0
2025-10-06,383.6358825136301,383.6358825136301,375.09767571980467,378.6082458496094,3653700.0
2025-10-07,378.7250266598306,379.01675314931214,374.8935271531156,376.15771484375,2505700.0
2025-10-08,375.8173102434433,375.8173102434433,372.43316459219193,373.2208557128906,2517600.0
2025-10-09,372.3553630865562,373.77514803569323,367.0651721318674,367.2888488769531,3321400.0
2025-10-10,369.78809206527785,369.78809206527785,364.4589941977949,365.40228271484375,2992400.0
2025-10-13,368.6308504339742,371.78161502209394,366.80261874752887,368.9225769042969,2925900.0
2025-10-14,368.43634606259553,378.1804256443732,367.60004373018455,377.0426330566406,4399900.0
2025-10-15,378.51103978401335,383.50947434180813,376.07988706518233,377.60662841796875,3690100.0
2025-10-16,378.9292168586321,379.25985008975897,373.39591051776523,376.72174072265625,2783700.0
2025-10-17,377.80115149933664,382.28418309319864,376.5369638928536,381.1075134277344,2657700.0
2025-10-20,380.63101126516386,382.3522567670641,377.40243321809885,378.180419921875,2761100.0
2025-10-21,376.8870540082442,382.78990051625465,375.2338581249689,380.13507080078125,2306900.0
2025-10-22,380.4754194313423,382.225837605147,377.4802521906377,378.2582092285156,2857000.0
2025-10-23,376.4688710262192,378.0150806165678,370.79940618445,374.42669677734375,2767300.0
2025-10-24,378.9681015073717,378.9681015073717,375.04908447214564,376.03125,2426800.0
2025-10-27,377.02319835539487,378.56940801701535,372.3553670460668,374.66009521484375,3065800.0
2025-10-28,373.8335013939448,379.26955526933915,372.2872621610022,375.1268615722656,2372800.0
2025-10-29,372.45257937060524,374.39750145609145,364.86739510807143,367.6291809082031,3852300.0
2025-10-30,367.30830073831277,374.1058245068382,365.7523569286475,369.0976257324219,2384300.0
2025-10-31,366.5789276874148,370.4493335464572,364.682646350049,369.1365051269531,2643500.0
2025-11-03,366.6275697464224,368.0570887541689,363.3892576559226,367.9306640625,2897600.0
2025-11-04,366.95818218185974,373.1138475541215,366.3746996179726,372.5303649902344,2590000.0
2025-11-05,372.24839971795575,372.8610549707219,360.3260169130116,363.54486083984375,4763000.0
2025-11-06,361.58048746407775,362.39735121357927,357.4280596409988,358.9062194824219,3622100.0
2025-11-07,358.8283715782504,363.36004335764284,357.4474935902143,360.8899841308594,2766400.0
2025-11-10,359.6064000909565,360.4524365034046,353.44100025057185,360.228759765625,3257900.0
2025-11-11,361.7457700495194,365.6453482872514,360.69552519217467,363.9338073730469,2407300.0
2025-11-12,361.81389713794727,363.27258887924756,358.84790246816715,360.9095153808594,3375800.0
2025-11-13,361.42490876665056,363.2336722315698,356.5236963397476,357.93377685546875,3034800.0
2025-11-14,355.83326688983465,357.2141451188847,349.89151376555355,352.3810119628906,3413300.0
2025-11-17,351.1848930100947,353.7619090719871,346.29341470792065,348.1702575683594,5127200.0
2025-11-18,330.6173592116862,339.1944441751817,326.75668718026844,327.2137451171875,10168500.0
2025-11-19,331.5800630406063,332.3385815128617,322.2444305286613,325.2882385253906,7595000.0
2025-11-20,327.0970305832446,329.56709030759504,322.9835387560075,323.2266540527344,4025300.0
2025-11-21,325.356351446162,337.36625322520536,323.8295802366419,333.8653869628906,7441300.0
2025-11-24,332.7762309351845,334.24462715093733,327.2818014724936,327.31097412109375,6132900.0
2025-11-25,329.6643042136632,343.27875925493544,329.51844098793805,341.40191650390625,6316600.0
2025-11-26,340.61427155844075,347.48954973119123,339.38896094201596,345.6807861328125,4517300.0
2025-11-28,345.1556025907452,347.97573377578397,343.7649903745483,347.0908203125,2119600.0
2025-12-01,344.29983082264397,352.312930239926,343.16206798710976,347.489501953125,5107100.0
2025-12-02,347.00327466524027,347.654836647816,341.6255660714526,344.2803955078125,3965300.0
2025-12-03,344.7374926404726,350.5430871450869,344.00814674631084,348.0535888671875,4166700.0
2025-12-04,348.71911535336596,349.9131924709116,342.56276473239785,343.7079162597656,4022800.0
2025-12-05,343.19895387165076,348.0633464265518,342.1027577808173,347.0747985839844,5959200.0
2025-12-08,344.4713302562425,344.60833982606607,338.3541382135411,342.47467041015625,7273000.0
2025-12-09,340.3703677160696,349.09104041465736,337.6298477160418,337.9332580566406,5063100.0
2025-12-10,336.7881454975472,344.53983485927705,336.6902644468525,343.66876220703125,6316100.0
2025-12-11,348.4352899865784,355.0124966552466,346.4190656980946,349.8642578125,6609800.0
2025-12-12,351.6259931808686,353.094119260683,348.4841818643126,352.0076904296875,3861200.0
2025-12-15,351.75326163701504,354.9635630414982,348.06335203323914,349.40423583984375,4387400.0
2025-12-16,349.31615106277945,351.1170489325283,344.3343131247511,345.1858215332031,3497200.0
2025-12-17,344.49091449028276,349.90340512869824,343.5219607726549,349.1693420410156,3875200.0
2025-12-18,355.8150530732911,358.5163848099426,347.0258606581617,347.44671630859375,4805200.0
2025-12-19,346.58541127955135,346.58541127955135,337.5907194306183,337.66900634765625,12825600.0
2025-12-22,337.97244288692974,340.50740392360393,336.39666840566116,339.0295104980469,3523700.0
2025-12-23,336.69028944414873,340.11591738907464,334.6740651003779,337.6396789550781,3873400.0
2025-12-24,337.02300698088413,340.85972280498515,336.5923542903493,339.9592590332031,1368600.0
2025-12-26,339.6167196193633,342.6116945815832,339.20566102327206,342.3474426269531,1786900.0
2025-12-29,342.56275799846856,342.87596540293737,337.4243166284915,340.06695556640625,3790000.0
2025-12-30,338.67714901066444,339.60697424818056,336.41623697955146,338.9903564453125,2392600.0
2025-12-31,338.1583920810744,339.34267215308904,336.6609045931061,336.78814697265625,2317500.0
2026-01-02,336.1323595285862,341.0848358843269,333.6757154817447,338.4715881347656,3763000.0
2026-01-05,335.41787238947416,339.96905711029814,333.9986719456546,336.7783203125,4725300.0
2026-01-06,334.2433821573216,343.22830690148726,330.5339084400161,341.86785888671875,4680300.0
2026-01-07,345.83181357461933,350.882171425454,341.61339990042745,341.64276123046875,4442700.0
2026-01-08,337.9724478428672,355.5214431146019,336.7881676979742,351.9196472167969,5196500.0
2026-01-09,355.77590141056635,367.51111346981986,353.632434855731,366.67919921875,7093500.0
2026-01-12,366.6791955603369,368.42137070172816,361.4037146771692,366.9728088378906,5859800.0
2026-01-13,367.88301598710603,372.10142905904644,362.94033696481216,371.6707763671875,4785800.0
2026-01-14,368.6856307593888,372.0133774109565,366.023427464314,367.96136474609375,4959900.0
2026-01-15,368.02988789183587,372.1014950566882,366.5030389386545,371.1031799316406,2990100.0
2026-01-16,371.19124144254374,374.63643351070186,369.4882246061678,372.0917053222656,3709000.0
2026-01-20,364.33018071485697,369.3218156656606,363.41015259231614,367.1391906738281,5353700.0
2026-01-21,367.81455216608674,377.719535714972,366.71835600898766,376.46673583984375,5169800.0
2026-01-22,378.2382530449191,382.3000628313615,372.44403525172845,372.93341064453125,4828100.0
2026-01-23,373.3934198383746,376.20242977736825,371.1520722052226,375.61517333984375,3138300.0
2026-01-26,376.81907125597525,379.18766141770476,373.8338931586024,378.3165588378906,3984800.0
2026-01-27,376.77011060504714,378.2871623096181,370.2320329388677,372.2776184082031,3466100.0
2026-01-28,372.1308348268722,372.9040563253842,365.7102319421367,367.3251647949219,3371500.0
2026-01-29,366.9336686607455,369.07713530060647,362.284602364362,363.9093322753906,4744500.0
2026-01-30,364.49657950368345,367.1489857391411,360.71858598230574,366.6302490234375,3755600.0
2026-02-02,366.28767783702625,371.58272307589243,360.41517322936585,370.0852355957031,4757200.0
2026-02-03,369.27288458137934,383.45497361161824,368.9890384961104,373.0019226074219,5684400.0
2026-02-04,376.41776544446515,382.23154756833605,376.19264200827143,378.9723205566406,5574700.0
2026-02-05,378.46334758938633,378.77655501017597,372.73764950494666,374.24493408203125,3759700.0
2026-02-06,373.2368128082787,378.1599279570784,371.0444206547449,376.9658508300781,4685400.0
2026-02-09,376.19261028028023,377.58244943724617,370.16353216389405,372.9040222167969,3639300.0
2026-02-10,375.65433486260844,383.4158213872818,373.8240756812119,381.39959716796875,3160800.0
2026-02-11,376.81905953552473,383.10265283953595,373.96109404547286,382.37835693359375,3229900.0
2026-02-12,385.187358063094,389.18067797780816,380.7340539554721,381.9281311035156,3702200.0
2026-02-13,381.908564252376,385.62780524875825,378.87443087685193,382.740478515625,2875900.0
2026-02-17,383.89544883635097,385.6278270527202,372.41469084659906,374.9007263183594,3485300.0
2026-02-18,374.6168560607417,376.93649059942254,371.4750744620919,375.3704833984375,2982600.0
2026-02-19,375.58581909315217,375.58581909315217,369.3707754637165,370.53546142578125,2930900.0
2026-02-20,369.42951043425745,376.6428992274523,367.96138419838536,374.12750244140625,3984100.0
2026-02-23,372.89425117804547,375.977340039125,361.7267011620893,368.979248046875,5495700.0
2026-02-24,380.8417107584177,385.9703852790173,374.0883361890514,376.31011962890625,5675800.0
2026-02-25,372.97257644926333,373.3347094680754,363.47868169262966,367.5894470214844,5036900.0
2026-02-26,370.35929161988014,373.37386076885247,366.97282226210285,367.11962890625,2889400.0
2026-02-27,365.915758878878,374.0687697501482,364.42806841930053,372.6300048828125,4819500.0
2026-03-02,367.0315715092017,367.13921976634026,361.15906636505446,362.93060302734375,4537600.0
2026-03-03,356.0010127710523,360.94369199596207,352.46770711379116,359.12322998046875,3964700.0
2026-03-04,358.41858485167666,361.7169705441832,353.8282408266486,361.2667236328125,4324400.0
2026-03-05,358.340254529235,359.1819957877215,351.5673154097268,353.9945983886719,4752200.0
2026-03-06,349.94255357633443,351.81197110412063,345.71434314288405,350.3144836425781,4167400.0
2026-03-09,348.04377907067123,348.91485172224776,338.2954297848507,346.047119140625,4224500.0
2026-03-10,345.5382004871225,353.9554635770335,343.56110469944167,349.56085205078125,3986000.0
2026-03-11,347.90677293241225,348.7485142053993,341.69169898686965,343.38494873046875,3197100.0
2026-03-12,340.9512279608855,343.5425566286561,333.7191718320135,333.9457702636719,3893600.0
2026-03-13,336.6651978613972,338.36976775473033,333.05901726415016,334.0443115234375,2531900.0
2026-03-16,337.40418868905533,340.1630007521627,335.6405034404279,337.5421142578125,3194400.0
2026-03-17,339.81816704201003,341.68035764135743,335.92624251251857,336.4090270996094,3075900.0
2026-03-18,333.62066680099906,334.8030019580219,325.28508517224077,326.0634460449219,3592200.0
2026-03-19,324.12242413889567,325.37376721971134,319.8561127917808,323.3834533691406,3845400.0
2026-03-20,322.93020208868677,325.37374274161465,315.55035751193924,316.03314208984375,9672200.0
2026-03-23,327.10784167944627,329.7977059156196,323.38343046640387,326.03387451171875,5806300.0
2026-03-24,321.10742781217783,327.6300717030042,318.26977522756266,326.04376220703125,4566400.0
2026-03-25,330.07358186100777,332.2313787270356,322.18136510255556,327.6202087402344,4397800.0
2026-03-26,326.56593457755275,329.2065159991698,321.7872513641968,323.6001892089844,3448400.0
2026-03-27,322.68389984010173,322.72332003339125,316.0233004076466,316.919921875,3977400.0
2026-03-30,320.93006084928754,323.16666808726706,317.83622231185035,318.7427062988281,4066000.0
2026-03-31,323.65932500963066,326.56595531217556,318.6540430408731,324.053466796875,5749100.0
2026-04-01,324.5264147036482,328.1917111081323,322.9893578310064,324.713623046875,3386200.0
2026-04-02,318.84123847490497,321.5015150184395,313.9738822734865,316.90020751953125,3732300.0
2026-04-06,314.9985972226668,321.87593213773096,314.2300688775543,321.84637451171875,2448300.0
2026-04-07,318.2500813990391,319.60979244017267,310.673165290877,314.082275390625,4661600.0
2026-04-08,328.3591748751156,333.7979883682909,327.36401804999974,331.2165222167969,4610600.0
2026-04-09,326.388616523007,335.5617045306175,323.6199418005998,334.58624267578125,3002000.0
2026-04-10,336.0248127567512,336.2120210994593,330.8717121868362,332.37921142578125,3208300.0
2026-04-13,330.60565624287267,336.4188865710081,327.0487282012957,336.14300537109375,3741200.0
2026-04-14,335.9853517224209,337.71947928880917,333.36446531187323,337.6701965332031,2882500.0
2026-04-15,336.8228540004552,337.2366607575258,331.6697541162465,333.92608642578125,3365200.0
2026-04-16,334.9902184465357,336.9509746615948,331.7387590995254,332.1919860839844,2856700.0
2026-04-17,337.7983122720913,346.8433072133841,337.7983122720913,344.2618408203125,4930400.0
2026-04-20,343.2174366312315,346.00583653193246,338.5668460102951,345.8284606933594,3260900.0
2026-04-21,347.7399078982703,348.35078554942595,337.92638515117363,338.8624267578125,3081000.0
2026-04-22,338.8919874460811,340.1629954470494,332.95066400346604,334.5074157714844,2855800.0
2026-04-23,334.50744745169345,335.81787576813997,331.9259809451064,335.1577453613281,2712400.0
2026-04-24,332.91125712465214,335.26609496653134,329.75830320236696,330.9505310058594,3255900.0
2026-04-27,329.56126408981737,332.41861168305576,327.25567892552993,327.4132995605469,3282900.0
2026-04-28,329.5316980954363,330.9899144482985,322.5459348903251,324.220947265625,4279300.0
2026-04-29,320.8709611177203,321.0483068839262,314.35814983882847,318.0628662109375,4150000.0
2026-04-30,317.5012539357068,325.26537852338674,317.5012539357068,323.96478271484375,4317900.0
2026-05-01,325.24565828599395,325.6594650583568,318.60475417876165,319.11712646484375,3865300.0
2026-05-04,317.34356938789824,317.34356938789824,307.6680023826615,307.8256530761719,6396100.0
2026-05-05,308.8011039225745,312.959047256485,305.8353583254913,310.78155517578125,6391400.0
2026-05-06,317.2253492112466,320.4571133614208,314.6537454823368,318.29931640625,5455900.0
2026-05-07,320.2304978152761,322.6740083417755,317.6884217799922,317.8953552246094,4411700.0
2026-05-08,317.93474702110166,319.2353426707153,312.14121191718147,312.78167724609375,4995500.0
2026-05-11,311.8456552875821,312.45653296086624,305.15549837099616,306.8206481933594,4335700.0
2026-05-12,308.6237547613812,310.150948950067,304.56431685148686,305.89447021484375,4225700.0
2026-05-13,303.08638666631595,303.1652270544281,294.86903523029974,298.1007995605469,6307800.0
2026-05-14,300.57390974137434,301.48039382713375,296.98745373152394,299.8743591308594,5072600.0
2026-05-15,295.8937302385283,298.47519650583126,292.51417798992316,293.1349182128906,6121500.0
2026-05-18,294.84933010653106,299.31271224674526,292.92799412343095,295.4010925292969,6366100.0
2026-05-19,287.57783348316474,298.7313718247998,284.84857918279005,297.9924011230469,8692500.0
2026-05-20,296.6327042526405,306.4363947204983,292.30727784287797,306.0126953125,5810900.0
2026-05-21,301.85475235570635,309.3725528012548,299.9038888531578,309.1656494140625,4516600.0
2026-05-22,309.8750586089163,310.32828556949477,306.8797555054846,308.4660949707031,2963800.0
2026-05-26,310.42684744524456,312.1314175610734,304.41654566531474,305.97332763671875,6978200.0
2026-05-27,310.12136308197864,316.27945210266927,309.88490208559824,313.17578125,5990100.0
2026-05-28,312.7817028577755,317.1465496037087,310.52537038117634,316.48638916015625,6818900.0
2026-05-29,315.7671367684214,317.36330876728886,312.3383016854047,312.47625732421875,6963300.0
2026-06-01,310.4958029229232,311.24463622584767,303.1652107990409,306.12109375,4544200.0
2026-06-02,305.4215416998635,307.6088962755514,304.03227311149993,306.9388732910156,4310000.0
2026-06-03,303.4115246580221,308.9094535404009,302.60357612746606,308.3675537109375,4328300.0
2026-06-04,315.5049467263879,318.403599213189,305.85605078553533,307.6826171875,4558600.0
2026-06-05,308.5561528759146,311.7525986238699,306.3722648476684,308.50653076171875,3946300.0
2026-06-08,306.62045149296284,311.4746638676563,304.8236946299612,307.4443664550781,4381800.0
2026-06-09,309.0723663566284,320.52795549693786,308.00024998881105,318.9793395996094,4875300.0
2026-06-10,320.9051596578416,321.6298303667879,316.4678580086006,316.5870056152344,4823800.0
2026-06-11,319.93233407887243,324.6376494749074,316.2196730066971,323.6251220703125,4656600.0
2026-06-12,326.0969127055492,328.59846715733096,322.9104034108394,325.98773193359375,3649000.0
2026-06-15,331.3184370072605,335.52741021038827,327.12930659108537,327.4072570800781,4695000.0
2026-06-16,329.48195490895256,335.7954145326594,327.33775250061905,334.6240539550781,5131500.0
2026-06-17,333.55197998269495,338.6543633465824,323.78396663149965,325.0843811035156,6085400.0
2026-06-18,329.27351216388143,335.5472561594589,328.4793462633244,331.8346252441406,10604400.0
2026-06-22,327.585930781475,329.30328611244005,323.9527013683971,324.23065185546875,4713600.0
2026-06-23,321.5007640397083,326.6130837898613,319.3466553723836,322.0765380859375,4788000.0
2026-06-24,326.7123600579221,340.4511116799111,325.3126710965327,340.3518371582031,6385000.0
2026-06-25,339.74631356501925,346.08958287234753,339.3194664460809,342.4761962890625,6974100.0
2026-06-26,345.35498409810776,347.93597025012764,343.31999268085383,346.3079528808594,7771700.0
2026-06-29,346.30796611732103,348.779771593463,343.0122759730193,348.24371337890625,5786500.0
2026-06-30,348.1245733949154,350.91401476625776,344.7593579765289,350.1000061035156,4579000.0
2026-07-01,351.39054305253717,354.50755727558504,348.27349853515625,348.27349853515625,4041300.0
2026-07-02,350.2588479333682,355.5697168646199,345.1068121812833,355.2818298339844,3110500.0
2026-07-06,355.2024317145021,356.2248957008094,343.2703427329958,348.0848693847656,4460800.0
2026-07-07,352.46261179283084,352.81999402230383,341.96002145419817,342.6846618652344,3592800.0
2026-07-08,335.51746569664226,335.51746569664226,328.24110074686496,333.75048828125,4192300.0
2026-07-09,335.2891698936722,338.2374444527704,333.1548737064404,336.2520751953125,2780800.0
2026-07-10,337.06606773965154,341.8805944502874,335.4281440922459,340.78863525390625,2748000.0
2026-07-13,341.4835329455154,342.5853984087983,332.9762178919015,334.6439208984375,3650400.0
2026-07-14,337.0362951640151,339.24999292947075,334.1078935040618,335.2693176269531,2807300.0
2026-07-15,336.5101711499915,343.7170716460562,334.79284603598825,338.9422607421875,3953100.0
2026-07-16,339.05141987244593,348.24368914862276,338.148103527179,345.4740905761719,3810300.0
2026-07-17,346.3774576909258,351.39053349528973,335.61675940843014,336.39105224609375,4434000.0
2026-07-20,337.4829959680537,337.7113243396537,328.98561793122497,330.60369873046875,4125300.0
2026-07-21,328.87640129200065,330.5639772575944,324.60786955925937,329.1742248535156,3112600.0
2026-07-22,331.0901002710247,334.097933459434,328.2907223705125,329.02532958984375,2907700.0
2026-07-23,322.92030555418336,325.8288946116248,320.6867650845805,322.3346252441406,4523100.0
2026-07-24,322.69201940343424,331.02062819830684,320.8654832094117,330.5441589355469,3874500.0
2026-07-27,336.90725567373363,339.3889672822994,332.8968012318786,333.6313781738281,3622400.0
2026-07-28,340.13347371189195,346.87378048907175,340.0937578445657,341.9500732421875,4308000.0
2026-07-29,337.89002113209693,342.74423353473367,334.495026147691,335.7954406738281,4028500.0
2026-07-30,332.5394250801792,333.23431646100056,327.8341094785939,330.91143798828125,6275400.0
2026-07-31,330.0080852280822,331.55667084801746,326.39469858534585,329.5315856933594,4961900.0
2026-08-03,337.3142314565633,341.126167165973,331.27872212293863,337.5326232910156,2908100.0
2026-08-04,337.741121159039,348.29333390946084,336.8675537894677,345.6925048828125,4275000.0
2026-08-05,347.59845998552333,351.95632983727285,345.6031541488199,350.5566711425781,3140400.0
2026-08-06,350.9140306560572,350.9636527717977,344.967859180145,346.963134765625,2622400.0
2026-08-07,348.9386046403958,354.21966416090896,346.1888486641563,353.0185241699219,3584800.0
2026-08-10,349.52427926105196,351.41037408001614,344.52114002902516,348.21392822265625,3124800.0
2026-08-11,349.71288949562955,355.7384623950411,348.0352499864083,351.8868713378906,2549700.0
2026-08-12,349.4250091127092,351.28132462652724,340.5206262766717,340.9176940917969,3965800.0
2026-08-13,344.4615642861647,345.206077753642,338.0190507751135,339.2003479003906,2439900.0
2026-08-14,338.3168506868042,338.3168506868042,333.5519765191293,336.381103515625,3073100.0
2026-08-17,332.26147100502055,336.95688030952056,330.4548079641576,335.4082946777344,5580000.0
2026-08-18,334.31635102921473,342.01959397178314,328.27090486006995,335.0211486816406,6603400.0
