date,open,high,low,close,volume
2014-01-02,45.12488512503296,45.21462644929224,44.8719692687496,44.978031158447266,8771800.0
2014-01-03,45.05145557951321,45.27989368688293,44.99434605267078,45.08408737182617,3642500.0
2014-01-06,45.22278524215498,45.369639203902594,44.83117571490662,44.89644241333008,9123500.0
2014-01-07,45.1004146270427,45.51650196988986,45.1004146270427,45.36964797973633,5714000.0
2014-01-08,45.443065652225606,45.83467517488466,45.32068631479147,45.769405364990234,7793300.0
2014-01-09,45.83468148519728,46.14470690040704,45.728619585634625,46.1120719909668,6204700.0
2014-01-10,46.22627987952563,46.29970685188588,45.85914501772436,46.29154968261719,7734300.0
2014-01-13,46.38944884717246,46.56077740296786,45.81835054895243,45.91625213623047,12815600.0
2014-01-14,45.98967472402405,46.56893324814421,45.94072549116534,46.495506286621094,6943500.0
2014-01-15,46.59340484535927,46.59340484535927,46.33233191291328,46.454708099365234,10054100.0
2014-01-16,46.43840721336678,46.650530991775526,46.38129768354195,46.568946838378906,5489900.0
2014-01-17,46.56893754858891,46.69947403532505,46.389448712238476,46.51998519897461,6907500.0
2014-01-21,46.75658711259662,46.87080615815501,46.43024431479929,46.78921890258789,5697400.0
2014-01-22,46.82186062167845,46.911605059750514,46.67500665251252,46.830020904541016,5391300.0
2014-01-23,46.64237487848068,46.78922885751072,46.20181605362679,46.50368118286133,7052900.0
2014-01-24,46.22628097812669,46.31602540339267,45.41042709350586,45.41042709350586,13101900.0
2014-01-27,45.39412964671868,45.4920312845907,44.8964580598274,45.043312072753906,13825900.0
2014-01-28,45.32882838839194,45.83465676293732,45.304350663396406,45.647010803222656,8806300.0
2014-01-29,45.33699983352155,45.68781725067523,45.07592684106797,45.23093795776367,12281200.0
2014-01-30,45.67965868793596,46.161012586634094,45.65518095597811,46.05495071411133,10714100.0
2014-01-31,45.581762528993465,45.9244228305167,45.43490855866009,45.655189514160156,10821300.0
2014-02-03,45.769404792980076,45.899941298901695,44.6761603887981,44.757747650146484,15808800.0
2014-02-04,45.010654103837055,45.25541274151936,44.871960447236745,45.19830322265625,10080000.0
2014-02-05,45.173830710486506,45.255417969884846,44.586418003997025,44.94539260864258,16384200.0
2014-02-06,45.05144928494101,45.25541274151936,44.98617948496297,45.19830322265625,7842200.0
2014-02-07,45.263588788972996,45.98969849928068,45.14121253132641,45.97338104248047,11497100.0
2014-02-10,46.063111245781535,46.373136604583244,45.88362550098955,46.35681915283203,7902800.0
2014-02-11,46.389458092255595,47.02582320473882,46.283396202763065,46.98503112792969,10380300.0
2014-02-12,47.13188509423135,47.24610415419132,46.846334332095466,46.98503112792969,6535800.0
2014-02-13,46.73210709524172,47.34399747702189,46.65052295589854,47.319522857666016,8256400.0
2014-02-14,47.27873172213239,47.56427932771085,47.180830130539135,47.49085235595703,8379800.0
2014-02-18,47.70298126337931,48.0293209747446,47.605076548957484,47.931419372558594,10874200.0
2014-02-19,47.915101032540676,48.086429611251326,47.57244387511938,47.63771057128906,10732700.0
2014-02-20,47.70297477006504,48.14353347605126,47.53980338047533,48.070106506347656,9852300.0
2014-02-21,48.119067064423184,48.31487338777603,47.92326385330626,47.98037338256836,5196300.0
2014-02-24,48.14354531594355,48.61674215090299,48.07011832818212,48.339351654052734,6464300.0
2014-02-25,48.26592471370865,48.486205677209334,48.07827865863092,48.21697235107422,6858600.0
2014-02-26,48.35566915575369,48.51884058563229,48.102753283830054,48.21697235107422,7449000.0
2014-02-27,48.216960007240466,48.49435043334961,48.08642351920295,48.49435043334961,5980100.0
2014-02-28,48.53514561455257,48.959386866497965,48.07826635030358,48.49435043334961,10341200.0
